"task","repeat_id","outer_fold","inner_fold","t_end","num.trees","mtry_rule","min.node.size","k_use","mtry","accuracy"
"NUC_vs_CONTROL",1,1,4,9,400,"floor_sqrt_p",5,9,3,0.831192660550459
"NUC_vs_CONTROL",1,1,4,9,400,"floor_sqrt_p",7,9,3,0.83302752293578
"NUC_vs_CONTROL",1,1,5,9,400,"floor_sqrt_p",2,10,3,0.84954128440367
"NUC_vs_CONTROL",1,1,5,9,400,"floor_sqrt_p",5,10,3,0.851376146788991
"NUC_vs_CONTROL",1,1,5,9,400,"floor_sqrt_p",7,10,3,0.856880733944954
"NUC_vs_CONTROL",1,1,1,10,400,"floor_sqrt_p",2,10,3,0.838827838827839
"NUC_vs_CONTROL",1,1,1,10,400,"floor_sqrt_p",5,10,3,0.835164835164835
"NUC_vs_CONTROL",1,1,1,10,400,"floor_sqrt_p",7,10,3,0.826007326007326
"NUC_vs_CONTROL",1,1,2,10,400,"floor_sqrt_p",2,10,3,0.860805860805861
"NUC_vs_CONTROL",1,1,2,10,400,"floor_sqrt_p",5,10,3,0.864468864468865
"NUC_vs_CONTROL",1,1,2,10,400,"floor_sqrt_p",7,10,3,0.860805860805861
"NUC_vs_CONTROL",1,1,3,10,400,"floor_sqrt_p",2,10,3,0.856880733944954
"NUC_vs_CONTROL",1,1,3,10,400,"floor_sqrt_p",5,10,3,0.844036697247706
"NUC_vs_CONTROL",1,1,3,10,400,"floor_sqrt_p",7,10,3,0.847706422018349
"NUC_vs_CONTROL",1,1,4,10,400,"floor_sqrt_p",2,10,3,0.845871559633028
"NUC_vs_CONTROL",1,1,4,10,400,"floor_sqrt_p",5,10,3,0.842201834862385
"NUC_vs_CONTROL",1,1,4,10,400,"floor_sqrt_p",7,10,3,0.845871559633028
"NUC_vs_CONTROL",1,1,5,10,400,"floor_sqrt_p",2,10,3,0.856880733944954
"NUC_vs_CONTROL",1,1,5,10,400,"floor_sqrt_p",5,10,3,0.845871559633028
"NUC_vs_CONTROL",1,1,5,10,400,"floor_sqrt_p",7,10,3,0.858715596330275
"NUC_vs_CONTROL",1,1,1,11,400,"floor_sqrt_p",2,11,3,0.847985347985348
"NUC_vs_CONTROL",1,1,1,11,400,"floor_sqrt_p",5,11,3,0.838827838827839
"NUC_vs_CONTROL",1,1,1,11,400,"floor_sqrt_p",7,11,3,0.833333333333333
"NUC_vs_CONTROL",1,1,2,11,400,"floor_sqrt_p",2,11,3,0.858974358974359
"NUC_vs_CONTROL",1,1,2,11,400,"floor_sqrt_p",5,11,3,0.851648351648352
"NUC_vs_CONTROL",1,1,2,11,400,"floor_sqrt_p",7,11,3,0.866300366300366
"NUC_vs_CONTROL",1,1,3,11,400,"floor_sqrt_p",2,10,3,0.871559633027523
"NUC_vs_CONTROL",1,1,3,11,400,"floor_sqrt_p",5,10,3,0.873394495412844
"NUC_vs_CONTROL",1,1,3,11,400,"floor_sqrt_p",7,10,3,0.869724770642202
"NUC_vs_CONTROL",1,1,4,11,400,"floor_sqrt_p",2,10,3,0.845871559633028
"NUC_vs_CONTROL",1,1,4,11,400,"floor_sqrt_p",5,10,3,0.838532110091743
"NUC_vs_CONTROL",1,1,4,11,400,"floor_sqrt_p",7,10,3,0.842201834862385
"NUC_vs_CONTROL",1,1,5,11,400,"floor_sqrt_p",2,11,3,0.871559633027523
"NUC_vs_CONTROL",1,1,5,11,400,"floor_sqrt_p",5,11,3,0.864220183486239
"NUC_vs_CONTROL",1,1,5,11,400,"floor_sqrt_p",7,11,3,0.873394495412844
"NUC_vs_CONTROL",1,1,1,12,400,"floor_sqrt_p",2,11,3,0.824175824175824
"NUC_vs_CONTROL",1,1,1,12,400,"floor_sqrt_p",5,11,3,0.827838827838828
"NUC_vs_CONTROL",1,1,1,12,400,"floor_sqrt_p",7,11,3,0.833333333333333
"NUC_vs_CONTROL",1,1,2,12,400,"floor_sqrt_p",2,12,3,0.846153846153846
"NUC_vs_CONTROL",1,1,2,12,400,"floor_sqrt_p",5,12,3,0.857142857142857
"NUC_vs_CONTROL",1,1,2,12,400,"floor_sqrt_p",7,12,3,0.855311355311355
"NUC_vs_CONTROL",1,1,3,12,400,"floor_sqrt_p",2,11,3,0.858715596330275
"NUC_vs_CONTROL",1,1,3,12,400,"floor_sqrt_p",5,11,3,0.858715596330275
"NUC_vs_CONTROL",1,1,3,12,400,"floor_sqrt_p",7,11,3,0.862385321100917
"NUC_vs_CONTROL",1,1,4,12,400,"floor_sqrt_p",2,11,3,0.840366972477064
"NUC_vs_CONTROL",1,1,4,12,400,"floor_sqrt_p",5,11,3,0.851376146788991
"NUC_vs_CONTROL",1,1,4,12,400,"floor_sqrt_p",7,11,3,0.842201834862385
"NUC_vs_CONTROL",1,1,5,12,400,"floor_sqrt_p",2,12,3,0.862385321100917
"NUC_vs_CONTROL",1,1,5,12,400,"floor_sqrt_p",5,12,3,0.858715596330275
"NUC_vs_CONTROL",1,1,5,12,400,"floor_sqrt_p",7,12,3,0.869724770642202
"NUC_vs_CONTROL",1,1,1,13,400,"floor_sqrt_p",2,12,3,0.851648351648352
