"task","model","selection_rule","n_repeats","n_outer_evals","mean_outer_accuracy","sd_outer_accuracy","mean_outer_ppv","sd_outer_ppv","mean_outer_tpr","sd_outer_tpr","mean_outer_tnr","sd_outer_tnr","mean_outer_auc","sd_outer_auc","mean_selected_t_end","sd_selected_t_end","mean_selected_log10_lambda","sd_selected_log10_lambda","mean_selected_log10_eps","sd_selected_log10_eps"
"NUC_vs_CONTROL","RF","max_inner_accuracy",5,25,0.85677256663348,0.0150944776303648,0.843234801097624,0.0186130475935891,0.84085061071093,0.020829491371089,0.869990198622042,0.017231691407809,0.934567085189051,0.00994410167516616,16.32,3.35062183283442,NA,NA,NA,NA
"NUC_vs_CONTROL","BinomialLasso","max_inner_accuracy",5,25,0.728559912916297,0.0160887201948819,0.711394913610608,0.0195137440039562,0.676411316421338,0.0270099801532509,0.771864279742858,0.0202042609160376,0.796689378136807,0.0162595498879035,17.52,1.87349939951952,-2.97777777777778,0.702728368926306,NA,NA
"NUC_vs_CONTROL","Mahalanobis","max_inner_accuracy",5,25,0.725919495340125,0.0128629191429744,0.683298351916152,0.0137299719278847,0.738207328531162,0.0222469285372467,0.715717950935455,0.0171398895034352,0.622215388872423,0.0241406957373247,18.16,1.99332218503014,NA,NA,-6,0
