"task","repeat_id","outer_fold","inner_fold","t_end","eps","log10_eps","k_use","accuracy"
"HEME_vs_CONTROL",1,1,5,19,1e-06,-6,13,0.849489795918367
"HEME_vs_CONTROL",1,1,1,20,1e-06,-6,13,0.88295165394402
"HEME_vs_CONTROL",1,1,2,20,1e-06,-6,13,0.860050890585242
"HEME_vs_CONTROL",1,1,3,20,1e-06,-6,13,0.860050890585242
"HEME_vs_CONTROL",1,1,4,20,1e-06,-6,13,0.885204081632653
"HEME_vs_CONTROL",1,1,5,20,1e-06,-6,13,0.844387755102041
"HEME_vs_CONTROL",1,2,1,6,1e-06,-6,5,0.893129770992366
"HEME_vs_CONTROL",1,2,2,6,1e-06,-6,5,0.870229007633588
"HEME_vs_CONTROL",1,2,3,6,1e-06,-6,5,0.880407124681934
"HEME_vs_CONTROL",1,2,4,6,1e-06,-6,5,0.869897959183674
"HEME_vs_CONTROL",1,2,5,6,1e-06,-6,5,0.892857142857143
"HEME_vs_CONTROL",1,2,1,7,1e-06,-6,6,0.908396946564885
"HEME_vs_CONTROL",1,2,2,7,1e-06,-6,6,0.872773536895674
"HEME_vs_CONTROL",1,2,3,7,1e-06,-6,6,0.885496183206107
"HEME_vs_CONTROL",1,2,4,7,1e-06,-6,7,0.892857142857143
"HEME_vs_CONTROL",1,2,5,7,1e-06,-6,6,0.918367346938776
"HEME_vs_CONTROL",1,2,1,8,1e-06,-6,7,0.888040712468193
"HEME_vs_CONTROL",1,2,2,8,1e-06,-6,7,0.857506361323155
"HEME_vs_CONTROL",1,2,3,8,1e-06,-6,7,0.880407124681934
"HEME_vs_CONTROL",1,2,4,8,1e-06,-6,7,0.875
"HEME_vs_CONTROL",1,2,5,8,1e-06,-6,7,0.903061224489796
"HEME_vs_CONTROL",1,2,1,9,1e-06,-6,8,0.893129770992366
"HEME_vs_CONTROL",1,2,2,9,1e-06,-6,8,0.870229007633588
"HEME_vs_CONTROL",1,2,3,9,1e-06,-6,8,0.888040712468193
"HEME_vs_CONTROL",1,2,4,9,1e-06,-6,8,0.885204081632653
"HEME_vs_CONTROL",1,2,5,9,1e-06,-6,8,0.913265306122449
"HEME_vs_CONTROL",1,2,1,10,1e-06,-6,9,0.893129770992366
"HEME_vs_CONTROL",1,2,2,10,1e-06,-6,8,0.870229007633588
"HEME_vs_CONTROL",1,2,3,10,1e-06,-6,8,0.88295165394402
"HEME_vs_CONTROL",1,2,4,10,1e-06,-6,9,0.885204081632653
"HEME_vs_CONTROL",1,2,5,10,1e-06,-6,8,0.897959183673469
"HEME_vs_CONTROL",1,2,1,11,1e-06,-6,9,0.903307888040712
"HEME_vs_CONTROL",1,2,2,11,1e-06,-6,9,0.870229007633588
"HEME_vs_CONTROL",1,2,3,11,1e-06,-6,9,0.89058524173028
"HEME_vs_CONTROL",1,2,4,11,1e-06,-6,9,0.903061224489796
"HEME_vs_CONTROL",1,2,5,11,1e-06,-6,9,0.920918367346939
"HEME_vs_CONTROL",1,2,1,12,1e-06,-6,10,0.903307888040712
"HEME_vs_CONTROL",1,2,2,12,1e-06,-6,10,0.875318066157761
"HEME_vs_CONTROL",1,2,3,12,1e-06,-6,9,0.88295165394402
"HEME_vs_CONTROL",1,2,4,12,1e-06,-6,10,0.910714285714286
"HEME_vs_CONTROL",1,2,5,12,1e-06,-6,10,0.913265306122449
"HEME_vs_CONTROL",1,2,1,13,1e-06,-6,10,0.900763358778626
