"task","repeat_id","fold_id","model","t_end","baseline_accuracy","sulfur_accuracy","paired_difference","k_use"
"NUC_vs_CONTROL",4,3,"RF",10,0.843108504398827,0.848973607038123,0.00586510263929618,10
"NUC_vs_CONTROL",4,3,"BinomialLasso",10,0.687683284457478,0.687683284457478,0,10
"NUC_vs_CONTROL",4,3,"Mahalanobis",10,0.680351906158358,0.681818181818182,0.00146627565982405,10
"NUC_vs_CONTROL",4,4,"RF",10,0.847283406754772,0.84287812041116,-0.00440528634361237,10
"NUC_vs_CONTROL",4,4,"BinomialLasso",10,0.698972099853157,0.682819383259912,-0.0161527165932452,10
"NUC_vs_CONTROL",4,4,"Mahalanobis",10,0.681350954478708,0.687224669603524,0.00587371512481649,10
"NUC_vs_CONTROL",4,5,"RF",10,0.850220264317181,0.853157121879589,0.00293685756240825,10
"NUC_vs_CONTROL",4,5,"BinomialLasso",10,0.712187958883994,0.716593245227606,0.00440528634361237,10
"NUC_vs_CONTROL",4,5,"Mahalanobis",10,0.729809104258443,0.729809104258443,0,10
"NUC_vs_CONTROL",5,1,"RF",10,0.841874084919473,0.841874084919473,0,10
"NUC_vs_CONTROL",5,1,"BinomialLasso",10,0.68814055636896,0.686676427525622,-0.00146412884333813,10
"NUC_vs_CONTROL",5,1,"Mahalanobis",10,0.676427525622255,0.676427525622255,0,10
"NUC_vs_CONTROL",5,2,"RF",10,0.857979502196193,0.853587115666179,-0.00439238653001461,10
"NUC_vs_CONTROL",5,2,"BinomialLasso",10,0.708638360175695,0.708638360175695,0,10
"NUC_vs_CONTROL",5,2,"Mahalanobis",10,0.704245973645681,0.704245973645681,0,10
"NUC_vs_CONTROL",5,3,"RF",10,0.86950146627566,0.86217008797654,-0.00733137829912023,10
"NUC_vs_CONTROL",5,3,"BinomialLasso",10,0.703812316715543,0.703812316715543,0,10
"NUC_vs_CONTROL",5,3,"Mahalanobis",10,0.702346041055719,0.700879765395894,-0.00146627565982405,10
"NUC_vs_CONTROL",5,4,"RF",10,0.851688693098385,0.854625550660793,0.00293685756240825,10
"NUC_vs_CONTROL",5,4,"BinomialLasso",10,0.68575624082232,0.679882525697504,-0.00587371512481649,10
"NUC_vs_CONTROL",5,4,"Mahalanobis",10,0.691629955947137,0.700440528634361,0.00881057268722463,10
"NUC_vs_CONTROL",5,5,"RF",10,0.854625550660793,0.850220264317181,-0.00440528634361237,10
