"task","model","n_repeats","n_folds","n_paired_evals","t_end","baseline_mean_accuracy","baseline_sd_accuracy","sulfur_mean_accuracy","sulfur_sd_accuracy","mean_paired_difference","sd_paired_difference","paired_difference_ci_lower","paired_difference_ci_upper","signflip_p_two_sided"
"NUC_vs_CONTROL","RF",20,5,100,10,0.851595577281885,0.0116744899977639,0.850481012549369,0.0113951648657522,-0.00111456473251616,0.00448919933624386,-0.00197939082811778,-0.000234775764986528,0.0154984501549845
"NUC_vs_CONTROL","BinomialLasso",20,5,100,10,0.697343499300658,0.0155805332570381,0.695774130108541,0.0158679279910797,-0.00156936919211664,0.0036774829381985,-0.00230379991940202,-0.000865555310999213,9.99900009999e-05
"NUC_vs_CONTROL","Mahalanobis",20,5,100,10,0.692476531591685,0.0163804758737638,0.692373591299846,0.0168391787998329,-0.000102940291838296,0.0037659226171246,-0.000821051694912255,0.000645055570644223,0.778122187781222
"HEME_vs_CONTROL","RF",20,5,100,10,0.935173525313955,0.0103185212262892,0.935825383533772,0.0101273946126956,0.000651858219816664,0.00363586734047373,-6.03136657275799e-05,0.00136477383512145,0.0698930106989301
"HEME_vs_CONTROL","BinomialLasso",20,5,100,10,0.898228060624677,0.0118691364129121,0.901998217795886,0.0111718655370644,0.00377015717120884,0.00506031611960467,0.00279206045639158,0.0047470631648417,9.99900009999e-05
"HEME_vs_CONTROL","Mahalanobis",20,5,100,10,0.88625374376068,0.0131492173080171,0.887067871597499,0.0133864121330563,0.000814127836818493,0.00464881862761341,-0.000102993792022803,0.00172967731849581,0.0831916808319168
