"task","model","selection_rule","n_repeats","n_outer_evals","mean_outer_accuracy","sd_outer_accuracy","mean_outer_ppv","sd_outer_ppv","mean_outer_tpr","sd_outer_tpr","mean_outer_tnr","sd_outer_tnr","mean_outer_auc","sd_outer_auc","mean_selected_t_end","sd_selected_t_end","mean_selected_log10_lambda","sd_selected_log10_lambda","mean_selected_log10_eps","sd_selected_log10_eps"
"HEME_vs_CONTROL","RF","max_inner_accuracy",5,25,0.945252737426996,0.0097321196216585,0.948500199648802,0.0248727215375432,0.817911978350662,0.0341206915290757,0.985724004727723,0.00725358652503905,0.97814378826432,0.00797152926810061,13.2,1.15470053837925,NA,NA,NA,NA
"HEME_vs_CONTROL","BinomialLasso","max_inner_accuracy",5,25,0.909251446562431,0.0088285866843142,0.843403908743319,0.030047395753941,0.767252528129896,0.0206878164780931,0.954379486292485,0.0104605859484044,0.943878299374988,0.0101275712888716,11.28,0.678232998312527,-3.02222222222222,0.65734219812218,NA,NA
"HEME_vs_CONTROL","Mahalanobis","max_inner_accuracy",5,25,0.894593578726011,0.0138232384980708,0.74269064020116,0.0335724185433104,0.864529269334853,0.0199850571012493,0.904143388394015,0.0166373218007323,0.798372984520984,0.0418902406184457,10.8,2,NA,NA,-6,0
