"threshold","ILR1_raw","ILR1_spline","v1_raw","v1_spline"
4.8,1.19246413585541,1.19476359516489,1.03914326429012,0.985962127307725
4.9,1.19246413585541,1.20081236243309,1.03914326429012,1.13730083970175
5,1.21817994366441,1.20568597688059,1.32871824693874,1.29093478372783
5.1,1.24299325386375,1.20781668673939,1.26625747390187,1.43894133429328
5.2,1.16123036785292,1.20563674024148,1.77878054021507,1.57339786630539
5.3,1.183680087725,1.19757838561887,1.75554918397149,1.68638175467147
5.4,1.20543893623662,1.18225752173684,1.84804660528694,1.7706537651439
5.5,1.1175471778879,1.16137480419186,1.74714672949231,1.83045349407607
5.6,1.17733828036197,1.13919051928198,1.76932948227046,1.87954529772468
5.7,1.17733828036197,1.12004243091617,1.73243082785616,1.93198183785923
5.8,1.08291732713588,1.10826830300341,2.14276441435887,2.0018157762492
5.9,1.08291732713588,1.10820123395126,2.25105081818326,2.1030834110789
6,1.10177462549004,1.12180424744724,2.26008581892747,2.24150833926485
6.1,1.15550477558874,1.14482125378947,2.27381928736195,2.40100149868815
6.2,1.17254431772028,1.17198841496993,2.62410024083315,2.5619392928326
6.3,1.17254431772028,1.1980418929806,2.62410024083315,2.70469812518197
6.4,1.23687107898615,1.21771784981344,2.86776942525979,2.80965439922005
6.5,1.23687107898615,1.22622763976852,2.86776942525979,2.85947831646536
6.6,1.26696527094637,1.22345090638043,2.85351364085299,2.85937435032968
6.7,1.183680087725,1.21191696549363,2.79083701581528,2.8273371920665
6.8,1.183680087725,1.19418554526027,2.79083701581528,2.78150833600353
6.9,1.13804446178087,1.17281637383252,2.80616067310093,2.74002927646847
7,1.17924680184767,1.15036002646761,2.76960149921598,2.7209369072736
7.1,1.13804446178087,1.12856963245088,2.76345302565388,2.73315480232356
7.2,1.08925913449892,1.10779335169399,2.76750005254548,2.76955035640312
7.3,1.12616003444716,1.08823633012513,2.73306157287399,2.82135658124334
7.4,1.06354332668991,1.07010371367248,2.6238434428991,2.87980648857525
7.5,1.01265037703928,1.05360064826424,2.97483623245955,2.9361330901299
7.6,1.04362350855479,1.03890319811894,3.03962459648601,2.98297470492435
7.7,1.04362350855479,1.02600795560819,3.05538516029157,3.02164221962513
7.8,1.00912365261538,1.01484311723092,3.19315470580668,3.05675159544181
7.9,1.02773279978917,1.00533674484853,3.23003115138088,3.09292529963624
8,0.980258143468547,0.997416900322409,3.17032171325619,3.13478579947024
8.1,0.989042191598953,0.991010164674972,3.17147908971052,3.18684551384358
8.2,0.989042191598953,0.985994196396381,3.17147908971052,3.24998118984228
8.3,0.996896717751988,0.982187694647013,3.17944370691986,3.32068801939567
8.4,0.956815992863465,0.979405848450402,3.22064559021262,3.39520033905632
8.5,0.97253012358317,0.977463846830083,3.39768829492715,3.4697524853768
8.6,0.965371135057665,0.976176878809588,3.68254131286977,3.54057879490966
8.7,0.994838181272835,0.975392574440284,3.68479465217048,3.60481816097852
8.8,1.00201699198017,0.975088327884858,3.69574291318317,3.66322770399116
8.9,0.946739698902762,0.97527397433383,3.84929611183993,3.71746910112643
9,0.973680358535765,0.975959348977719,3.85301059154893,3.76920402956317
9.1,0.993232943849761,0.977154287007044,3.79489745302483,3.82009416648021
9.2,0.973916336105513,0.978851093353381,3.77164029466058,3.87198808456277
9.3,0.980258143468547,0.980747619380111,3.81686860247612,3.9298736169546
9.4,0.980258143468547,0.982297388466583,3.81583597724879,4.00134345291947
9.5,0.974135968590952,0.982946528414157,4.19612321395094,4.09406912826292
9.6,0.980258143468547,0.982141167024192,4.24295045469816,4.21572217879048
9.7,0.974340897379863,0.979327767704909,4.63675757722273,4.37396241612343
9.8,0.997718457276411,0.974123282150368,4.59998306938921,4.57049376629134
9.9,0.94736352495221,0.966592026001519,4.72386967340115,4.79139181773754
10,0.958499294956928,0.956870805981482,4.72692964311006,5.02019973511046
10.1,0.964485591070684,0.945096428813376,5.30876030931353,5.24046068305856
10.2,0.934622517524419,0.93140570122032,5.40405231483931,5.43571782623024
10.3,0.925647333622831,0.916001182837744,5.58295792919504,5.59116359419743
10.4,0.875662816417372,0.899731389911626,5.86410002284822,5.70819279514025
10.5,0.863307988913409,0.883811476926994,5.83320025849946,5.79739653845213
10.6,0.856370144027294,0.869460806555261,5.87915352525827,5.86947148648161
10.7,0.895392832704304,0.857898741467843,5.94426984223583,5.93511430157722
10.8,0.865339906349492,0.850335003998822,6.07615400806922,6.00497674911191
10.9,0.843774622841851,0.847139402092141,6.09028216171226,6.08579894546059
11,0.837953210158637,0.847201951911127,6.09356765647696,6.17742932124555
11.1,0.827862754301227,0.849262039348279,6.03612564630705,6.27901479184556
11.2,0.849892784707325,0.852059050296095,6.41217359704128,6.38970227263934
11.3,0.858516145010386,0.854332370647075,6.47114255331187,6.50863867900566
11.4,0.875453644168786,0.855026839120735,6.69277560991976,6.63506026888656
11.5,0.855484600040313,0.854355204707035,6.99965420798675,6.76875465965419
11.6,0.855484600040313,0.853013411007628,6.99965420798675,6.90971958915365
11.7,0.845877023145415,0.85169835279466,7.01640360224271,7.05795320885302
11.8,0.854051759061309,0.85110692484028,7.02183820077552,7.21345367022041
11.9,0.826478106588122,0.85192168055413,7.45125968255739,7.37611229865138
12,0.842280033034434,0.854351377221666,7.4985131344399,7.5422912026273
12.1,0.87286238986125,0.858033773436075,7.58356690780028,7.70409923033493
