"repeat_id","fold_id","model","t_end","smooth_lambda_name","smooth_lambda","accuracy","k_use"
2,3,"RF",10,"1e-1",0.1,0.766666666666667,6
2,3,"MultinomialLasso",10,"1e-1",0.1,0.744444444444444,6
2,3,"Mahalanobis",10,"1e-1",0.1,0.588888888888889,6
2,4,"RF",10,"1e-4",1e-04,0.787709497206704,6
2,4,"MultinomialLasso",10,"1e-4",1e-04,0.782122905027933,6
2,4,"Mahalanobis",10,"1e-4",1e-04,0.597765363128492,6
2,4,"RF",10,"1e-3",0.001,0.793296089385475,6
2,4,"MultinomialLasso",10,"1e-3",0.001,0.782122905027933,6
2,4,"Mahalanobis",10,"1e-3",0.001,0.597765363128492,6
2,4,"RF",10,"1e-2",0.01,0.782122905027933,6
2,4,"MultinomialLasso",10,"1e-2",0.01,0.782122905027933,6
2,4,"Mahalanobis",10,"1e-2",0.01,0.597765363128492,6
2,4,"RF",10,"1e-1",0.1,0.776536312849162,6
2,4,"MultinomialLasso",10,"1e-1",0.1,0.782122905027933,6
2,4,"Mahalanobis",10,"1e-1",0.1,0.597765363128492,6
2,5,"RF",10,"1e-4",1e-04,0.831460674157303,6
2,5,"MultinomialLasso",10,"1e-4",1e-04,0.803370786516854,6
2,5,"Mahalanobis",10,"1e-4",1e-04,0.578651685393258,6
2,5,"RF",10,"1e-3",0.001,0.814606741573034,6
2,5,"MultinomialLasso",10,"1e-3",0.001,0.803370786516854,6
2,5,"Mahalanobis",10,"1e-3",0.001,0.578651685393258,6
2,5,"RF",10,"1e-2",0.01,0.814606741573034,6
2,5,"MultinomialLasso",10,"1e-2",0.01,0.803370786516854,6
2,5,"Mahalanobis",10,"1e-2",0.01,0.578651685393258,6
2,5,"RF",10,"1e-1",0.1,0.808988764044944,6
2,5,"MultinomialLasso",10,"1e-1",0.1,0.803370786516854,6
2,5,"Mahalanobis",10,"1e-1",0.1,0.584269662921348,6
3,1,"RF",10,"1e-4",1e-04,0.78804347826087,6
3,1,"MultinomialLasso",10,"1e-4",1e-04,0.777173913043478,6
3,1,"Mahalanobis",10,"1e-4",1e-04,0.53804347826087,6
3,1,"RF",10,"1e-3",0.001,0.782608695652174,6
3,1,"MultinomialLasso",10,"1e-3",0.001,0.777173913043478,6
3,1,"Mahalanobis",10,"1e-3",0.001,0.53804347826087,6
3,1,"RF",10,"1e-2",0.01,0.782608695652174,6
3,1,"MultinomialLasso",10,"1e-2",0.01,0.777173913043478,6
3,1,"Mahalanobis",10,"1e-2",0.01,0.53804347826087,6
3,1,"RF",10,"1e-1",0.1,0.782608695652174,6
3,1,"MultinomialLasso",10,"1e-1",0.1,0.777173913043478,6
3,1,"Mahalanobis",10,"1e-1",0.1,0.532608695652174,6
3,2,"RF",10,"1e-4",1e-04,0.80327868852459,6
