"repeat_id","outer_fold","inner_fold","t_end","lambda","log10_lambda","k_use","accuracy"
1,1,1,6,0.01,-2,4,0.625850340136054
1,1,1,6,0.00599484250318941,-2.22222222222222,4,0.666666666666667
1,1,1,6,0.00359381366380463,-2.44444444444444,4,0.687074829931973
1,1,1,6,0.00215443469003188,-2.66666666666667,4,0.700680272108844
1,1,1,6,0.00129154966501488,-2.88888888888889,4,0.707482993197279
1,1,1,6,0.000774263682681127,-3.11111111111111,4,0.72108843537415
1,1,1,6,0.000464158883361278,-3.33333333333333,4,0.72108843537415
1,1,1,6,0.000278255940220713,-3.55555555555556,4,0.727891156462585
1,1,1,6,0.000166810053720006,-3.77777777777778,4,0.727891156462585
1,1,1,6,1e-04,-4,4,0.727891156462585
1,1,2,6,0.01,-2,4,0.719178082191781
1,1,2,6,0.00599484250318941,-2.22222222222222,4,0.732876712328767
1,1,2,6,0.00359381366380463,-2.44444444444444,4,0.753424657534247
1,1,2,6,0.00215443469003188,-2.66666666666667,4,0.767123287671233
1,1,2,6,0.00129154966501488,-2.88888888888889,4,0.767123287671233
1,1,2,6,0.000774263682681127,-3.11111111111111,4,0.767123287671233
1,1,2,6,0.000464158883361278,-3.33333333333333,4,0.767123287671233
1,1,2,6,0.000278255940220713,-3.55555555555556,4,0.773972602739726
1,1,2,6,0.000166810053720006,-3.77777777777778,4,0.773972602739726
1,1,2,6,1e-04,-4,4,0.780821917808219
1,1,3,6,0.01,-2,4,0.729166666666667
1,1,3,6,0.00599484250318941,-2.22222222222222,4,0.756944444444444
1,1,3,6,0.00359381366380463,-2.44444444444444,4,0.75
1,1,3,6,0.00215443469003188,-2.66666666666667,4,0.777777777777778
1,1,3,6,0.00129154966501488,-2.88888888888889,4,0.784722222222222
1,1,3,6,0.000774263682681127,-3.11111111111111,4,0.784722222222222
1,1,3,6,0.000464158883361278,-3.33333333333333,4,0.777777777777778
1,1,3,6,0.000278255940220713,-3.55555555555556,4,0.777777777777778
1,1,3,6,0.000166810053720006,-3.77777777777778,4,0.777777777777778
1,1,3,6,1e-04,-4,4,0.777777777777778
1,1,4,6,0.01,-2,4,0.73943661971831
1,1,4,6,0.00599484250318941,-2.22222222222222,4,0.767605633802817
1,1,4,6,0.00359381366380463,-2.44444444444444,4,0.795774647887324
1,1,4,6,0.00215443469003188,-2.66666666666667,4,0.809859154929577
1,1,4,6,0.00129154966501488,-2.88888888888889,4,0.802816901408451
1,1,4,6,0.000774263682681127,-3.11111111111111,4,0.788732394366197
