"t_end","fold","classifier","accuracy","k_use"
7.6,1,"RF",0.717391304347826,5
7.6,1,"MultinomialLasso",0.739130434782609,5
7.6,1,"Mahalanobis",0.66304347826087,5
7.6,2,"RF",0.786885245901639,5
7.6,2,"MultinomialLasso",0.786885245901639,5
7.6,2,"Mahalanobis",0.612021857923497,5
7.6,3,"RF",0.766666666666667,5
7.6,3,"MultinomialLasso",0.744444444444444,5
7.6,3,"Mahalanobis",0.6,5
7.6,4,"RF",0.754189944134078,5
7.6,4,"MultinomialLasso",0.770949720670391,5
7.6,4,"Mahalanobis",0.564245810055866,5
7.6,5,"RF",0.775280898876405,5
7.6,5,"MultinomialLasso",0.758426966292135,5
7.6,5,"Mahalanobis",0.634831460674157,5
7.8,1,"RF",0.728260869565217,5
7.8,1,"MultinomialLasso",0.744565217391304,5
7.8,1,"Mahalanobis",0.657608695652174,5
7.8,2,"RF",0.775956284153005,5
7.8,2,"MultinomialLasso",0.781420765027322,5
7.8,2,"Mahalanobis",0.60655737704918,5
7.8,3,"RF",0.755555555555556,5
7.8,3,"MultinomialLasso",0.738888888888889,5
7.8,3,"Mahalanobis",0.6,5
7.8,4,"RF",0.759776536312849,5
7.8,4,"MultinomialLasso",0.770949720670391,5
7.8,4,"Mahalanobis",0.553072625698324,5
7.8,5,"RF",0.786516853932584,5
7.8,5,"MultinomialLasso",0.764044943820225,5
7.8,5,"Mahalanobis",0.634831460674157,5
8,1,"RF",0.760869565217391,5
8,1,"MultinomialLasso",0.744565217391304,5
8,1,"Mahalanobis",0.668478260869565,5
8,2,"RF",0.808743169398907,5
8,2,"MultinomialLasso",0.770491803278688,5
8,2,"Mahalanobis",0.612021857923497,5
8,3,"RF",0.761111111111111,5
8,3,"MultinomialLasso",0.755555555555556,5
8,3,"Mahalanobis",0.6,5
8,4,"RF",0.776536312849162,5
8,4,"MultinomialLasso",0.782122905027933,5
8,4,"Mahalanobis",0.547486033519553,5
8,5,"RF",0.820224719101124,5
8,5,"MultinomialLasso",0.752808988764045,5
8,5,"Mahalanobis",0.646067415730337,5
8.2,1,"RF",0.744565217391304,5
8.2,1,"MultinomialLasso",0.75,5
8.2,1,"Mahalanobis",0.66304347826087,5
8.2,2,"RF",0.775956284153005,5
8.2,2,"MultinomialLasso",0.770491803278688,5
8.2,2,"Mahalanobis",0.617486338797814,5
8.2,3,"RF",0.744444444444444,5
8.2,3,"MultinomialLasso",0.761111111111111,5
8.2,3,"Mahalanobis",0.594444444444444,5
8.2,4,"RF",0.787709497206704,5
8.2,4,"MultinomialLasso",0.776536312849162,5
8.2,4,"Mahalanobis",0.547486033519553,5
8.2,5,"RF",0.803370786516854,5
8.2,5,"MultinomialLasso",0.752808988764045,5
8.2,5,"Mahalanobis",0.640449438202247,5
8.4,1,"RF",0.760869565217391,5
8.4,1,"MultinomialLasso",0.744565217391304,5
8.4,1,"Mahalanobis",0.657608695652174,5
8.4,2,"RF",0.792349726775956,5
8.4,2,"MultinomialLasso",0.786885245901639,5
8.4,2,"Mahalanobis",0.617486338797814,5
8.4,3,"RF",0.761111111111111,5
8.4,3,"MultinomialLasso",0.766666666666667,5
8.4,3,"Mahalanobis",0.594444444444444,5
8.4,4,"RF",0.810055865921788,5
8.4,4,"MultinomialLasso",0.776536312849162,5
8.4,4,"Mahalanobis",0.541899441340782,5
8.4,5,"RF",0.831460674157303,5
8.4,5,"MultinomialLasso",0.747191011235955,5
8.4,5,"Mahalanobis",0.646067415730337,5
8.6,1,"RF",0.760869565217391,5
8.6,1,"MultinomialLasso",0.739130434782609,5
8.6,1,"Mahalanobis",0.66304347826087,5
8.6,2,"RF",0.797814207650273,6
8.6,2,"MultinomialLasso",0.786885245901639,6
8.6,2,"Mahalanobis",0.557377049180328,6
8.6,3,"RF",0.766666666666667,5
8.6,3,"MultinomialLasso",0.761111111111111,5
8.6,3,"Mahalanobis",0.583333333333333,5
8.6,4,"RF",0.782122905027933,6
8.6,4,"MultinomialLasso",0.804469273743017,6
8.6,4,"Mahalanobis",0.508379888268156,6
8.6,5,"RF",0.820224719101124,6
8.6,5,"MultinomialLasso",0.780898876404494,6
8.6,5,"Mahalanobis",0.651685393258427,6
8.8,1,"RF",0.728260869565217,6
8.8,1,"MultinomialLasso",0.739130434782609,6
8.8,1,"Mahalanobis",0.646739130434783,6
8.8,2,"RF",0.819672131147541,6
8.8,2,"MultinomialLasso",0.792349726775956,6
8.8,2,"Mahalanobis",0.557377049180328,6
8.8,3,"RF",0.772222222222222,5
8.8,3,"MultinomialLasso",0.766666666666667,5
8.8,3,"Mahalanobis",0.588888888888889,5
8.8,4,"RF",0.787709497206704,6
8.8,4,"MultinomialLasso",0.804469273743017,6
8.8,4,"Mahalanobis",0.508379888268156,6
8.8,5,"RF",0.820224719101124,6
8.8,5,"MultinomialLasso",0.780898876404494,6
8.8,5,"Mahalanobis",0.634831460674157,6
9,1,"RF",0.75,6
9,1,"MultinomialLasso",0.733695652173913,6
9,1,"Mahalanobis",0.635869565217391,6
9,2,"RF",0.792349726775956,6
9,2,"MultinomialLasso",0.797814207650273,6
9,2,"Mahalanobis",0.557377049180328,6
9,3,"RF",0.794444444444444,6
9,3,"MultinomialLasso",0.766666666666667,6
9,3,"Mahalanobis",0.555555555555556,6
9,4,"RF",0.76536312849162,6
9,4,"MultinomialLasso",0.810055865921788,6
9,4,"Mahalanobis",0.497206703910615,6
9,5,"RF",0.808988764044944,6
9,5,"MultinomialLasso",0.780898876404494,6
9,5,"Mahalanobis",0.623595505617977,6
9.2,1,"RF",0.744565217391304,6
9.2,1,"MultinomialLasso",0.733695652173913,6
9.2,1,"Mahalanobis",0.635869565217391,6
9.2,2,"RF",0.792349726775956,6
9.2,2,"MultinomialLasso",0.797814207650273,6
9.2,2,"Mahalanobis",0.562841530054645,6
9.2,3,"RF",0.777777777777778,6
9.2,3,"MultinomialLasso",0.772222222222222,6
9.2,3,"Mahalanobis",0.55,6
9.2,4,"RF",0.787709497206704,6
9.2,4,"MultinomialLasso",0.815642458100559,6
9.2,4,"Mahalanobis",0.497206703910615,6
9.2,5,"RF",0.814606741573034,6
9.2,5,"MultinomialLasso",0.780898876404494,6
9.2,5,"Mahalanobis",0.623595505617977,6
9.4,1,"RF",0.728260869565217,6
9.4,1,"MultinomialLasso",0.739130434782609,6
9.4,1,"Mahalanobis",0.635869565217391,6
9.4,2,"RF",0.797814207650273,6
9.4,2,"MultinomialLasso",0.797814207650273,6
9.4,2,"Mahalanobis",0.562841530054645,6
9.4,3,"RF",0.766666666666667,6
9.4,3,"MultinomialLasso",0.772222222222222,6
9.4,3,"Mahalanobis",0.55,6
9.4,4,"RF",0.770949720670391,6
9.4,4,"MultinomialLasso",0.815642458100559,6
9.4,4,"Mahalanobis",0.508379888268156,6
9.4,5,"RF",0.797752808988764,6
9.4,5,"MultinomialLasso",0.775280898876405,6
9.4,5,"Mahalanobis",0.629213483146067,6
9.6,1,"RF",0.75,6
9.6,1,"MultinomialLasso",0.739130434782609,6
9.6,1,"Mahalanobis",0.641304347826087,6
9.6,2,"RF",0.808743169398907,6
9.6,2,"MultinomialLasso",0.797814207650273,6
9.6,2,"Mahalanobis",0.562841530054645,6
