"repeat_id","outer_fold","inner_fold","t_end","num.trees","mtry_rule","min.node.size","k_use","mtry","accuracy"
1,1,2,11,400,"floor_sqrt_p",2,7,2,0.821917808219178
1,1,2,11,400,"floor_sqrt_p",5,7,2,0.835616438356164
1,1,2,11,400,"floor_sqrt_p",7,7,2,0.821917808219178
1,1,3,11,400,"floor_sqrt_p",2,7,2,0.805555555555556
1,1,3,11,400,"floor_sqrt_p",5,7,2,0.805555555555556
1,1,3,11,400,"floor_sqrt_p",7,7,2,0.8125
1,1,4,11,400,"floor_sqrt_p",2,7,2,0.774647887323944
1,1,4,11,400,"floor_sqrt_p",5,7,2,0.795774647887324
1,1,4,11,400,"floor_sqrt_p",7,7,2,0.788732394366197
1,1,5,11,400,"floor_sqrt_p",2,7,2,0.765957446808511
1,1,5,11,400,"floor_sqrt_p",5,7,2,0.75886524822695
1,1,5,11,400,"floor_sqrt_p",7,7,2,0.765957446808511
1,1,1,12,400,"floor_sqrt_p",2,7,2,0.748299319727891
1,1,1,12,400,"floor_sqrt_p",5,7,2,0.748299319727891
1,1,1,12,400,"floor_sqrt_p",7,7,2,0.73469387755102
1,1,2,12,400,"floor_sqrt_p",2,7,2,0.808219178082192
1,1,2,12,400,"floor_sqrt_p",5,7,2,0.808219178082192
1,1,2,12,400,"floor_sqrt_p",7,7,2,0.808219178082192
1,1,3,12,400,"floor_sqrt_p",2,7,2,0.798611111111111
1,1,3,12,400,"floor_sqrt_p",5,7,2,0.798611111111111
1,1,3,12,400,"floor_sqrt_p",7,7,2,0.777777777777778
1,1,4,12,400,"floor_sqrt_p",2,7,2,0.746478873239437
1,1,4,12,400,"floor_sqrt_p",5,7,2,0.76056338028169
1,1,4,12,400,"floor_sqrt_p",7,7,2,0.746478873239437
1,1,5,12,400,"floor_sqrt_p",2,7,2,0.765957446808511
1,1,5,12,400,"floor_sqrt_p",5,7,2,0.773049645390071
1,1,5,12,400,"floor_sqrt_p",7,7,2,0.765957446808511
1,1,1,13,400,"floor_sqrt_p",2,7,2,0.741496598639456
1,1,1,13,400,"floor_sqrt_p",5,7,2,0.73469387755102
1,1,1,13,400,"floor_sqrt_p",7,7,2,0.727891156462585
1,1,2,13,400,"floor_sqrt_p",2,7,2,0.821917808219178
1,1,2,13,400,"floor_sqrt_p",5,7,2,0.815068493150685
1,1,2,13,400,"floor_sqrt_p",7,7,2,0.821917808219178
1,1,3,13,400,"floor_sqrt_p",2,7,2,0.784722222222222
1,1,3,13,400,"floor_sqrt_p",5,7,2,0.798611111111111
1,1,3,13,400,"floor_sqrt_p",7,7,2,0.805555555555556
1,1,4,13,400,"floor_sqrt_p",2,7,2,0.711267605633803
1,1,4,13,400,"floor_sqrt_p",5,7,2,0.711267605633803
1,1,4,13,400,"floor_sqrt_p",7,7,2,0.725352112676056
1,1,5,13,400,"floor_sqrt_p",2,7,2,0.75177304964539
1,1,5,13,400,"floor_sqrt_p",5,7,2,0.773049645390071
1,1,5,13,400,"floor_sqrt_p",7,7,2,0.773049645390071
1,1,1,14,400,"floor_sqrt_p",2,7,2,0.755102040816326
1,1,1,14,400,"floor_sqrt_p",5,7,2,0.748299319727891
1,1,1,14,400,"floor_sqrt_p",7,7,2,0.727891156462585
1,1,2,14,400,"floor_sqrt_p",2,8,2,0.828767123287671
1,1,2,14,400,"floor_sqrt_p",5,8,2,0.821917808219178
1,1,2,14,400,"floor_sqrt_p",7,8,2,0.815068493150685
1,1,3,14,400,"floor_sqrt_p",2,8,2,0.798611111111111
1,1,3,14,400,"floor_sqrt_p",5,8,2,0.798611111111111
1,1,3,14,400,"floor_sqrt_p",7,8,2,0.8125
1,1,4,14,400,"floor_sqrt_p",2,7,2,0.73943661971831
1,1,4,14,400,"floor_sqrt_p",5,7,2,0.71830985915493
1,1,4,14,400,"floor_sqrt_p",7,7,2,0.725352112676056
1,1,5,14,400,"floor_sqrt_p",2,7,2,0.780141843971631
1,1,5,14,400,"floor_sqrt_p",5,7,2,0.787234042553192
1,1,5,14,400,"floor_sqrt_p",7,7,2,0.765957446808511
1,1,1,15,400,"floor_sqrt_p",2,8,2,0.727891156462585
1,1,1,15,400,"floor_sqrt_p",5,8,2,0.727891156462585
1,1,1,15,400,"floor_sqrt_p",7,8,2,0.714285714285714
1,1,2,15,400,"floor_sqrt_p",2,8,2,0.821917808219178
1,1,2,15,400,"floor_sqrt_p",5,8,2,0.815068493150685
1,1,2,15,400,"floor_sqrt_p",7,8,2,0.815068493150685
