"model","n_repeats","n_folds","n_paired_evals","t_end","baseline_mean_accuracy","baseline_sd_accuracy","sulfur_mean_accuracy","sulfur_sd_accuracy","mean_paired_difference","sd_paired_difference","paired_difference_ci_lower","paired_difference_ci_upper","signflip_p_two_sided"
"RF",20,5,100,10,0.783174047657223,0.0268838541997058,0.777931613641632,0.0257196686955837,-0.00524243401559023,0.0141740972736201,-0.00806549380735393,-0.00248680975695322,0.0003999600039996
"MultinomialLasso",20,5,100,10,0.779713663791409,0.0257289492431841,0.778332922129829,0.0257638421400243,-0.00138074166157982,0.00876148804238485,-0.00310408648088345,0.000281316161457243,0.116488351164884
"Mahalanobis",20,5,100,10,0.573291605611636,0.0378803164960004,0.572608002594463,0.0356927486632812,-0.000683603017173277,0.0162765602268772,-0.00380360394163922,0.00248608689412761,0.669333066693331
