"model","n_repeats","n_folds","n_paired_evals","t_end","accuracy_95_mean","accuracy_95_sd","k_95_mean","k_95_sd","accuracy_98_mean","accuracy_98_sd","k_98_mean","k_98_sd","mean_paired_difference_98_minus_95","sd_paired_difference","paired_difference_ci_lower","paired_difference_ci_upper","signflip_p_two_sided"
"RF",20,5,100,10,0.785965478351523,0.0273147845894914,6.06,0.238683256575942,0.787104488612258,0.027434282109712,12.56,0.498887651569859,0.00113901026073492,0.0187808918004574,-0.00252950230758748,0.00480347257405528,0.541345865413459
"MultinomialLasso",20,5,100,10,0.779314939962663,0.0217110250087725,6.06,0.238683256575942,0.775293496149549,0.0223183057237475,12.56,0.498887651569859,-0.00402144381311349,0.0218742237504133,-0.00822321499349051,0.000261025923575231,0.0685931406859314
"Mahalanobis",20,5,100,10,0.573179194347454,0.0322746272456459,6.06,0.238683256575942,0.601625717517629,0.0358268551328032,12.56,0.498887651569859,0.0284465231701751,0.0288256624751929,0.0227544449950551,0.0340774787491209,9.99900009999e-05
