"threshold","repeat_id","fold_id","feature_set","classifier","accuracy"
5.3,2,5,"CDPA_only","Mahalanobis",0.539325842696629
5.3,3,1,"ILR_CDPA","RF",0.760869565217391
5.3,3,1,"ILR_CDPA","MultinomialLasso",0.75
5.3,3,1,"ILR_CDPA","Mahalanobis",0.58695652173913
5.3,3,1,"ILR_only","RF",0.53804347826087
5.3,3,1,"ILR_only","MultinomialLasso",0.489130434782609
5.3,3,1,"ILR_only","Mahalanobis",0.402173913043478
5.3,3,1,"CDPA_only","RF",0.766304347826087
5.3,3,1,"CDPA_only","MultinomialLasso",0.728260869565217
5.3,3,1,"CDPA_only","Mahalanobis",0.548913043478261
5.3,3,2,"ILR_CDPA","RF",0.792349726775956
5.3,3,2,"ILR_CDPA","MultinomialLasso",0.754098360655738
5.3,3,2,"ILR_CDPA","Mahalanobis",0.584699453551913
5.3,3,2,"ILR_only","RF",0.497267759562842
5.3,3,2,"ILR_only","MultinomialLasso",0.469945355191257
5.3,3,2,"ILR_only","Mahalanobis",0.426229508196721
5.3,3,2,"CDPA_only","RF",0.759562841530055
5.3,3,2,"CDPA_only","MultinomialLasso",0.715846994535519
5.3,3,2,"CDPA_only","Mahalanobis",0.480874316939891
5.3,3,3,"ILR_CDPA","RF",0.744444444444444
5.3,3,3,"ILR_CDPA","MultinomialLasso",0.766666666666667
5.3,3,3,"ILR_CDPA","Mahalanobis",0.6
5.3,3,3,"ILR_only","RF",0.477777777777778
5.3,3,3,"ILR_only","MultinomialLasso",0.45
5.3,3,3,"ILR_only","Mahalanobis",0.422222222222222
5.3,3,3,"CDPA_only","RF",0.711111111111111
5.3,3,3,"CDPA_only","MultinomialLasso",0.75
5.3,3,3,"CDPA_only","Mahalanobis",0.566666666666667
5.3,3,4,"ILR_CDPA","RF",0.759776536312849
5.3,3,4,"ILR_CDPA","MultinomialLasso",0.754189944134078
5.3,3,4,"ILR_CDPA","Mahalanobis",0.620111731843575
5.3,3,4,"ILR_only","RF",0.463687150837989
5.3,3,4,"ILR_only","MultinomialLasso",0.491620111731844
5.3,3,4,"ILR_only","Mahalanobis",0.424581005586592
5.3,3,4,"CDPA_only","RF",0.715083798882682
5.3,3,4,"CDPA_only","MultinomialLasso",0.70391061452514
5.3,3,4,"CDPA_only","Mahalanobis",0.581005586592179
5.3,3,5,"ILR_CDPA","RF",0.719101123595506
5.3,3,5,"ILR_CDPA","MultinomialLasso",0.696629213483146
5.3,3,5,"ILR_CDPA","Mahalanobis",0.567415730337079
5.3,3,5,"ILR_only","RF",0.5
5.3,3,5,"ILR_only","MultinomialLasso",0.438202247191011
5.3,3,5,"ILR_only","Mahalanobis",0.387640449438202
5.3,3,5,"CDPA_only","RF",0.713483146067416
5.3,3,5,"CDPA_only","MultinomialLasso",0.674157303370786
5.3,3,5,"CDPA_only","Mahalanobis",0.544943820224719
5.3,4,1,"ILR_CDPA","RF",0.766304347826087
5.3,4,1,"ILR_CDPA","MultinomialLasso",0.760869565217391
5.3,4,1,"ILR_CDPA","Mahalanobis",0.608695652173913
5.3,4,1,"ILR_only","RF",0.5
5.3,4,1,"ILR_only","MultinomialLasso",0.478260869565217
5.3,4,1,"ILR_only","Mahalanobis",0.423913043478261
5.3,4,1,"CDPA_only","RF",0.760869565217391
5.3,4,1,"CDPA_only","MultinomialLasso",0.695652173913043
5.3,4,1,"CDPA_only","Mahalanobis",0.494565217391304
5.3,4,2,"ILR_CDPA","RF",0.737704918032787
5.3,4,2,"ILR_CDPA","MultinomialLasso",0.699453551912568
5.3,4,2,"ILR_CDPA","Mahalanobis",0.551912568306011
5.3,4,2,"ILR_only","RF",0.469945355191257
5.3,4,2,"ILR_only","MultinomialLasso",0.46448087431694
5.3,4,2,"ILR_only","Mahalanobis",0.382513661202186
5.3,4,2,"CDPA_only","RF",0.721311475409836
5.3,4,2,"CDPA_only","MultinomialLasso",0.688524590163934
5.3,4,2,"CDPA_only","Mahalanobis",0.530054644808743
5.3,4,3,"ILR_CDPA","RF",0.738888888888889
5.3,4,3,"ILR_CDPA","MultinomialLasso",0.727777777777778
5.3,4,3,"ILR_CDPA","Mahalanobis",0.594444444444444
5.3,4,3,"ILR_only","RF",0.511111111111111
5.3,4,3,"ILR_only","MultinomialLasso",0.494444444444444
5.3,4,3,"ILR_only","Mahalanobis",0.438888888888889
5.3,4,3,"CDPA_only","RF",0.694444444444444
5.3,4,3,"CDPA_only","MultinomialLasso",0.711111111111111
5.3,4,3,"CDPA_only","Mahalanobis",0.494444444444444
5.3,4,4,"ILR_CDPA","RF",0.709497206703911
5.3,4,4,"ILR_CDPA","MultinomialLasso",0.737430167597765
5.3,4,4,"ILR_CDPA","Mahalanobis",0.575418994413408
5.3,4,4,"ILR_only","RF",0.508379888268156
5.3,4,4,"ILR_only","MultinomialLasso",0.46927374301676
5.3,4,4,"ILR_only","Mahalanobis",0.385474860335196
5.3,4,4,"CDPA_only","RF",0.692737430167598
5.3,4,4,"CDPA_only","MultinomialLasso",0.731843575418994
5.3,4,4,"CDPA_only","Mahalanobis",0.569832402234637
5.3,4,5,"ILR_CDPA","RF",0.775280898876405
5.3,4,5,"ILR_CDPA","MultinomialLasso",0.803370786516854
5.3,4,5,"ILR_CDPA","Mahalanobis",0.601123595505618
5.3,4,5,"ILR_only","RF",0.49438202247191
5.3,4,5,"ILR_only","MultinomialLasso",0.455056179775281
5.3,4,5,"ILR_only","Mahalanobis",0.421348314606742
5.3,4,5,"CDPA_only","RF",0.724719101123595
5.3,4,5,"CDPA_only","MultinomialLasso",0.769662921348315
5.3,4,5,"CDPA_only","Mahalanobis",0.578651685393258
5.3,5,1,"ILR_CDPA","RF",0.766304347826087
5.3,5,1,"ILR_CDPA","MultinomialLasso",0.766304347826087
5.3,5,1,"ILR_CDPA","Mahalanobis",0.603260869565217
5.3,5,1,"ILR_only","RF",0.46195652173913
5.3,5,1,"ILR_only","MultinomialLasso",0.472826086956522
5.3,5,1,"ILR_only","Mahalanobis",0.445652173913043
5.3,5,1,"CDPA_only","RF",0.733695652173913
5.3,5,1,"CDPA_only","MultinomialLasso",0.722826086956522
5.3,5,1,"CDPA_only","Mahalanobis",0.565217391304348
5.3,5,2,"ILR_CDPA","RF",0.792349726775956
5.3,5,2,"ILR_CDPA","MultinomialLasso",0.754098360655738
5.3,5,2,"ILR_CDPA","Mahalanobis",0.617486338797814
5.3,5,2,"ILR_only","RF",0.453551912568306
5.3,5,2,"ILR_only","MultinomialLasso",0.459016393442623
5.3,5,2,"ILR_only","Mahalanobis",0.398907103825137
5.3,5,2,"CDPA_only","RF",0.726775956284153
5.3,5,2,"CDPA_only","MultinomialLasso",0.715846994535519
5.3,5,2,"CDPA_only","Mahalanobis",0.59016393442623
5.3,5,3,"ILR_CDPA","RF",0.755555555555556
5.3,5,3,"ILR_CDPA","MultinomialLasso",0.75
5.3,5,3,"ILR_CDPA","Mahalanobis",0.566666666666667
5.3,5,3,"ILR_only","RF",0.477777777777778
5.3,5,3,"ILR_only","MultinomialLasso",0.477777777777778
5.3,5,3,"ILR_only","Mahalanobis",0.461111111111111
5.3,5,3,"CDPA_only","RF",0.738888888888889
5.3,5,3,"CDPA_only","MultinomialLasso",0.7
5.3,5,3,"CDPA_only","Mahalanobis",0.461111111111111
5.3,5,4,"ILR_CDPA","RF",0.720670391061452
5.3,5,4,"ILR_CDPA","MultinomialLasso",0.726256983240223
5.3,5,4,"ILR_CDPA","Mahalanobis",0.558659217877095
5.3,5,4,"ILR_only","RF",0.508379888268156
5.3,5,4,"ILR_only","MultinomialLasso",0.458100558659218
5.3,5,4,"ILR_only","Mahalanobis",0.396648044692737
5.3,5,4,"CDPA_only","RF",0.698324022346369
5.3,5,4,"CDPA_only","MultinomialLasso",0.726256983240223
5.3,5,4,"CDPA_only","Mahalanobis",0.508379888268156
5.3,5,5,"ILR_CDPA","RF",0.769662921348315
5.3,5,5,"ILR_CDPA","MultinomialLasso",0.719101123595506
5.3,5,5,"ILR_CDPA","Mahalanobis",0.617977528089888
5.3,5,5,"ILR_only","RF",0.49438202247191
5.3,5,5,"ILR_only","MultinomialLasso",0.460674157303371
5.3,5,5,"ILR_only","Mahalanobis",0.376404494382022
5.3,5,5,"CDPA_only","RF",0.752808988764045
5.3,5,5,"CDPA_only","MultinomialLasso",0.724719101123595
5.3,5,5,"CDPA_only","Mahalanobis",0.567415730337079
5.3,6,1,"ILR_CDPA","RF",0.771739130434783
5.3,6,1,"ILR_CDPA","MultinomialLasso",0.760869565217391
5.3,6,1,"ILR_CDPA","Mahalanobis",0.58695652173913
5.3,6,1,"ILR_only","RF",0.46195652173913
5.3,6,1,"ILR_only","MultinomialLasso",0.467391304347826
5.3,6,1,"ILR_only","Mahalanobis",0.434782608695652
5.3,6,1,"CDPA_only","RF",0.706521739130435
5.3,6,1,"CDPA_only","MultinomialLasso",0.722826086956522
5.3,6,1,"CDPA_only","Mahalanobis",0.548913043478261
5.3,6,2,"ILR_CDPA","RF",0.754098360655738
5.3,6,2,"ILR_CDPA","MultinomialLasso",0.73224043715847
5.3,6,2,"ILR_CDPA","Mahalanobis",0.524590163934426
5.3,6,2,"ILR_only","RF",0.459016393442623
5.3,6,2,"ILR_only","MultinomialLasso",0.453551912568306
5.3,6,2,"ILR_only","Mahalanobis",0.366120218579235
5.3,6,2,"CDPA_only","RF",0.754098360655738
5.3,6,2,"CDPA_only","MultinomialLasso",0.737704918032787
5.3,6,2,"CDPA_only","Mahalanobis",0.53551912568306
5.3,6,3,"ILR_CDPA","RF",0.755555555555556
5.3,6,3,"ILR_CDPA","MultinomialLasso",0.755555555555556
