"repeat_id","fold_id","model","t_end","accuracy_95","accuracy_98","paired_difference_98_minus_95","k_95","k_98"
1,1,"RF",10,0.75,0.771739130434783,0.0217391304347826,6,12
1,1,"MultinomialLasso",10,0.782608695652174,0.782608695652174,0,6,12
1,1,"Mahalanobis",10,0.576086956521739,0.576086956521739,0,6,12
1,2,"RF",10,0.808743169398907,0.80327868852459,-0.00546448087431695,6,13
1,2,"MultinomialLasso",10,0.792349726775956,0.770491803278688,-0.0218579234972678,6,13
1,2,"Mahalanobis",10,0.59016393442623,0.633879781420765,0.0437158469945356,6,13
1,3,"RF",10,0.794444444444444,0.761111111111111,-0.0333333333333333,6,13
1,3,"MultinomialLasso",10,0.816666666666667,0.805555555555556,-0.0111111111111111,6,13
1,3,"Mahalanobis",10,0.538888888888889,0.583333333333333,0.0444444444444445,6,13
1,4,"RF",10,0.748603351955307,0.770949720670391,0.0223463687150838,6,13
1,4,"MultinomialLasso",10,0.770949720670391,0.759776536312849,-0.0111731843575419,6,13
1,4,"Mahalanobis",10,0.569832402234637,0.569832402234637,0,6,13
1,5,"RF",10,0.786516853932584,0.803370786516854,0.0168539325842696,6,13
1,5,"MultinomialLasso",10,0.769662921348315,0.808988764044944,0.0393258426966292,6,13
1,5,"Mahalanobis",10,0.573033707865168,0.657303370786517,0.0842696629213484,6,13
2,1,"RF",10,0.766304347826087,0.766304347826087,0,6,12
2,1,"MultinomialLasso",10,0.771739130434783,0.75,-0.0217391304347826,6,12
2,1,"Mahalanobis",10,0.635869565217391,0.635869565217391,0,6,12
2,2,"RF",10,0.775956284153005,0.792349726775956,0.0163934426229508,6,12
2,2,"MultinomialLasso",10,0.770491803278688,0.765027322404372,-0.00546448087431695,6,12
2,2,"Mahalanobis",10,0.557377049180328,0.628415300546448,0.0710382513661203,6,12
2,3,"RF",10,0.794444444444444,0.788888888888889,-0.00555555555555554,6,13
2,3,"MultinomialLasso",10,0.777777777777778,0.783333333333333,0.00555555555555554,6,13
2,3,"Mahalanobis",10,0.566666666666667,0.616666666666667,0.05,6,13
2,4,"RF",10,0.810055865921788,0.804469273743017,-0.00558659217877089,7,13
2,4,"MultinomialLasso",10,0.787709497206704,0.782122905027933,-0.005586592178771,7,13
