"repeat_id","fold_id","model","t_end","baseline_accuracy","sulfur_accuracy","paired_difference","k_use"
1,1,"RF",10,0.739130434782609,0.760869565217391,0.0217391304347827,6
1,1,"MultinomialLasso",10,0.760869565217391,0.739130434782609,-0.0217391304347827,6
1,1,"Mahalanobis",10,0.5,0.478260869565217,-0.0217391304347826,6
1,2,"RF",10,0.765027322404372,0.743169398907104,-0.0218579234972677,6
1,2,"MultinomialLasso",10,0.819672131147541,0.808743169398907,-0.0109289617486339,6
1,2,"Mahalanobis",10,0.612021857923497,0.622950819672131,0.0109289617486339,6
1,3,"RF",10,0.755555555555556,0.761111111111111,0.00555555555555554,6
1,3,"MultinomialLasso",10,0.783333333333333,0.772222222222222,-0.0111111111111111,6
1,3,"Mahalanobis",10,0.561111111111111,0.555555555555556,-0.00555555555555554,6
1,4,"RF",10,0.815642458100559,0.798882681564246,-0.0167597765363129,6
1,4,"MultinomialLasso",10,0.782122905027933,0.787709497206704,0.005586592178771,6
1,4,"Mahalanobis",10,0.603351955307263,0.592178770949721,-0.0111731843575419,6
1,5,"RF",10,0.831460674157303,0.803370786516854,-0.0280898876404495,6
1,5,"MultinomialLasso",10,0.797752808988764,0.803370786516854,0.0056179775280899,6
1,5,"Mahalanobis",10,0.606741573033708,0.617977528089888,0.0112359550561797,6
2,1,"RF",10,0.755434782608696,0.755434782608696,0,6
2,1,"MultinomialLasso",10,0.771739130434783,0.771739130434783,0,6
2,1,"Mahalanobis",10,0.619565217391304,0.592391304347826,-0.0271739130434783,6
2,2,"RF",10,0.808743169398907,0.786885245901639,-0.0218579234972678,6
2,2,"MultinomialLasso",10,0.759562841530055,0.759562841530055,0,6
2,2,"Mahalanobis",10,0.562841530054645,0.562841530054645,0,6
2,3,"RF",10,0.733333333333333,0.738888888888889,0.00555555555555565,6
2,3,"MultinomialLasso",10,0.75,0.761111111111111,0.0111111111111111,6
2,3,"Mahalanobis",10,0.544444444444444,0.555555555555556,0.0111111111111112,6
2,4,"RF",10,0.76536312849162,0.748603351955307,-0.0167597765363129,6
2,4,"MultinomialLasso",10,0.754189944134078,0.748603351955307,-0.005586592178771,6
2,4,"Mahalanobis",10,0.502793296089385,0.508379888268156,0.00558659217877089,6
2,5,"RF",10,0.797752808988764,0.786516853932584,-0.0112359550561797,6
2,5,"MultinomialLasso",10,0.808988764044944,0.814606741573034,0.0056179775280899,6
2,5,"Mahalanobis",10,0.640449438202247,0.629213483146067,-0.0112359550561798,6
3,1,"RF",10,0.815217391304348,0.766304347826087,-0.0489130434782609,7
3,1,"MultinomialLasso",10,0.809782608695652,0.815217391304348,0.00543478260869557,7
3,1,"Mahalanobis",10,0.570652173913043,0.58695652173913,0.016304347826087,7
3,2,"RF",10,0.748633879781421,0.737704918032787,-0.0109289617486339,6
3,2,"MultinomialLasso",10,0.781420765027322,0.786885245901639,0.00546448087431695,6
3,2,"Mahalanobis",10,0.584699453551913,0.59016393442623,0.00546448087431695,6
3,3,"RF",10,0.772222222222222,0.777777777777778,0.00555555555555554,6
3,3,"MultinomialLasso",10,0.794444444444444,0.794444444444444,0,6
3,3,"Mahalanobis",10,0.55,0.555555555555556,0.00555555555555554,6
3,4,"RF",10,0.770949720670391,0.76536312849162,-0.00558659217877089,6
3,4,"MultinomialLasso",10,0.754189944134078,0.754189944134078,0,6
3,4,"Mahalanobis",10,0.575418994413408,0.564245810055866,-0.0111731843575419,6
3,5,"RF",10,0.797752808988764,0.792134831460674,-0.00561797752808979,6
3,5,"MultinomialLasso",10,0.786516853932584,0.780898876404494,-0.0056179775280899,6
3,5,"Mahalanobis",10,0.606741573033708,0.595505617977528,-0.0112359550561798,6
4,1,"RF",10,0.744565217391304,0.728260869565217,-0.0163043478260869,6
4,1,"MultinomialLasso",10,0.733695652173913,0.722826086956522,-0.0108695652173914,6
4,1,"Mahalanobis",10,0.489130434782609,0.505434782608696,0.016304347826087,6
4,2,"RF",10,0.819672131147541,0.830601092896175,0.0109289617486339,6
4,2,"MultinomialLasso",10,0.781420765027322,0.781420765027322,0,6
4,2,"Mahalanobis",10,0.601092896174863,0.59016393442623,-0.0109289617486339,6
4,3,"RF",10,0.805555555555556,0.783333333333333,-0.0222222222222223,6
